carretera_codigo,tramo_nombre,estacion_id,estacion_nombre,velocidad_media,imd_ascendentes,imd_descendentes,imd_total,imd_pesados,año
TF-237,Acceso a la Esperanza,515,CRUZ CHICA-EL ORTIGAL,44.82,4772.0,4763.0,9535,420,2021
TF-237,Acceso a el Cantillo,517,BCO L. LAJAS-TACORONTE,0.0,,,5606,116,2021
TF-237,Agua García,519,AGUAGARCIA CR.TF-228,0.0,,,5532,115,2021
TF-24,Camino el Mataero,203,BALDIOS-PANASCA,0.0,6512.0,8644.0,15156,756,2021
TF-24,La Esperanza,205,ESPERANZA-HORNILLO,0.0,,,8472,289,2021
TF-24,Acceso a Las Rosas,207,LA ESPERANZA.(CASA FORESTAL),0.0,,,3283,145,2021
TF-24,Las Raices,209,ESPERANZA CRUCE TF-276,0.0,,,2324,82,2021
TF-24,Acceso a Arafo,211,ANTES CRUCE LOS LOROS,0.0,,,1364,52,2021
TF-24,Izaña,213,PASADO CRUCE LOS LOROS,0.0,621.0,672.0,1293,32,2021
TF-24,El Portillo,215,PORTILLO VIEJO LAGUNA,0.0,,,1226,21,2021
TF-245,Arafo,523,ARAFO (LA HIDALGA),0.0,,,5608,131,2021
TF-247,Acceso a Malpaís,525,A MALPAIS,0.0,,,1367,32,2021
TF-247,Acceso a Las Cuevecitas,527,A LAS CUEVECITAS,0.0,,,766,18,2021
TF-247,Araya,529,ANTES DE ARAYA,0.0,444.0,424.0,868,20,2021
TF-247,Carretera General del Sur,531,LA PUNTA-ARAYA,0.0,,,1787,42,2021
TF-252,Intersección TF-4122 con ramal de enlace,533,ANTES COLEG. IGUESTE,0.0,,,596,14,2021
TF-252,Acceso a Carretera General,535,DESPUÉS COLEG. IGUESTE,0.0,,,2781,65,2021
TF-254,Barranco Hondo,537,A BARRANCO HONDO,0.0,,,3235,75,2021
TF-256,El Tablero,539,EL TABLERO,0.0,,,6746,209,2021
TF-263,Geneto,543,POLVORÍN GENETO,0.0,2919.0,2200.0,5119,159,2021
TF-265,Acceso a la Esperanza,545,LA LAGUNA C. NURIANA,0.0,,,7947,312,2021
TF-265,Acceso al cementerio de San Luis,547,CIUDAD DEPORTIVA TEN.,0.0,4643.0,5950.0,10593,401,2021
TF-265,Llano del Moro,549,LLANO DEL MORO,0.0,,,5792,180,2021
TF-272,Llano del Moro,553,EL SOBRADILLO,0.0,2672.0,2645.0,5317,165,2021
TF-272,La Esperanza,555,LLANO MORO-ESPERANZA,0.0,,,2706,105,2021
TF-274,Escuela Hogar,557,PREVENTORIO-ESPERANZA,0.0,,,1377,45,2021
TF-276,Las Raices,559,LAS RAICES,0.0,,,297,12,2021
TF-28,Acceso a el Tablero,217,ANTES CRUCE S. MARIA M.,0.0,5063.0,4582.0,9645,299,2021
TF-28,Tabaiba,220,PASANDO CRUCE EL TABLERO,0.0,,,4906,152,2021
TF-28,Barranco Hondo,221,TABAIBA-BCO. HONDO,0.0,,,874,20,2021
TF-28,Acceso Autopista del Sur,223,BCO. HONDO-GASOLINERA,0.0,,,3945,92,2021
TF-28,Caletillas,224,CUESTA LAS TABLAS,0.0,,,645,15,2021
TF-28,Igueste de Candelaría,225,PASADO ACCESO CALETILLAS,0.0,,,1414,33,2021
TF-28,Araya,227,URB. BRILLASOL,0.0,,,2649,62,2021
TF-28,Acceso a Candelaría,229,BARRANCO DE AROBA,0.0,,,4499,105,2021
TF-28,Malpaís de Candelaría,231,LA PEDRERA (ARAFO),0.0,,,1155,27,2021
TF-28,La Hidalga,233,ANTES SUBIDA ARAFO,0.0,,,2402,56,2021
TF-28,Acceso a Arafo,235,ARAFO (HIDALGA),0.0,,,15039,350,2021
TF-28,Güímar,237,SAN FRANCISCO JAVIER,0.0,,,12159,283,2021
TF-28,El Escobonal,239,GÜÍMAR(EL BADEN),0.0,,,2294,53,2021
TF-28,Acceso a la Zarza,241,ANTES DE SUBIDA LA ZARZA,0.0,,,864,20,2021
TF-28,Fasnia,243,ANTES DE FASNIA,0.0,,,1224,29,2021
TF-28,Acceso a El Bueno,245,LAS CASITAS (ARICO),0.0,,,334,8,2021
TF-28,Arico Viejo,247,ANTES DE ARICO VIEJO,0.0,,,918,21,2021
TF-28,Bajada al Poris,249,TEGUEDITE,0.0,,,1593,37,2021
TF-28,Arico,250,PASANDO VILLA DE ARICO,0.0,,,1875,44,2021
TF-28,Chimiche,251,ANTES CHIMICHE,0.0,,,1051,24,2021
TF-28,Acceso a las Palomas,253,DESPUÉS CHIMICHE,0.0,,,1899,49,2021
TF-28,Los Blanquitos,255,ANTES LOS BLANQUITOS,0.0,,,821,21,2021
TF-28,Granadilla,257,ANTES DE GRANADILLA,0.0,,,1654,42,2021
TF-28,Charco del Pino,258,ANTES CHARCO DEL PINO,0.0,,,4050,121,2021
TF-28,Acceso a el Frontón,259,ANTES DEL CRUCE FRONTON,0.0,,,2527,57,2021
TF-28,San Miguel,261,ANTES SAN MIGUEL,0.0,,,3757,85,2021
TF-28,El Roque,263,TAMAIDE (SAN MIGUEL),0.0,,,4518,103,2021
TF-28,Valle San Lorenzo,265,EL ROQUE SAN MIGUEL,0.0,,,2922,66,2021
TF-28,La Camella,267,LA FLORIDA (V S LORENZO),0.0,3710.0,4096.0,7806,198,2021
TF-28,Acceso a Arona,269,ANTE DE CHAYOFA ARONA,0.0,,,15921,477,2021
TF-28,Autopista del Sur,271,HOSPITAL DEL SUR,0.0,11001.0,11181.0,22182,665,2021
TF-281,La Hidalga,561,EL VOLCAN,63.37,7640.0,8247.0,15887,370,2021
TF-283,Autopista del Sur,563,CANDELARIA AROBA,0.0,,,8685,202,2021
TF-287,Barranco Hondo,567,BARRANCO HONDO CRUCE TF-1,0.0,,,4778,111,2021
TF-29,TF-5,272,C. SANTA LASTENIA,49.9,16487.0,4129.0,20616,893,2021
TF-293,Barranco Grande,569,SANTA MARIA DEL MAR,45.04,1825.0,1025.0,2850,73,2021
TF-31,Acceso a el Botánico,273,PICO VIEJO,63.98,11680.0,10848.0,22528,585,2021
TF-31,Pto. de la Cruz (Martianez),275,PTO.CRUZ (MARTIANEZ),0.0,,,9461,246,2021
TF-312,Puerto de la Cruz,573,PTO.CRUZ (BOTANICO),0.0,,,11670,355,2021
TF-312,Acceso a las Dehesas,575,CRUC. L DEHESAS-PTO CRUZ,0.0,7363.0,10393.0,17756,406,2021
TF-312,Las Arenas,577,ARENAS,0.0,,,20471,507,2021
TF-315,Camino del Burgado,579,PTO CRUZ-DEHESA BAJA,0.0,,,4623,125,2021
TF-320,Acceso a el Puerto de la Cruz,583,LIDL- LAS ARENAS,0.0,,,17952,614,2021
TF-320,Enlace TF-316,585,COLE. CASA AZUL,0.0,5708.0,7179.0,12887,389,2021
TF-320,La Zamora,587,PARQUE CARRETERAS LOS REALEJOS,0.0,,,9474,256,2021
TF-324,Los Realejos,591,CRUZ SANTA-LOS REALEJOS,0.0,,,7961,201,2021
TF-326,Benijos,593,LA PIÑERA-PALO BLANCO,0.0,,,3937,50,2021
TF-326,Acceso a la Orotava,599,CENTRO MÉDICO-BENIJO,0.0,,,1590,26,2021
TF-333,La Montañeta,601,AL CAMPO LA VILLA,0.0,3069.0,4071.0,7140,226,2021
TF-333,Los Realejos,603,MONASTERIO REALEJOS,0.0,,,13890,381,2021
TF-342,Icod el Alto,607,REALEJOS-PRINCIPES,39.39,2377.0,2504.0,4881,123,2021
TF-342,Acceso a San Juán de la Rambla,609,BCO CABRERA-S J RAMBLA,0.0,,,2262,61,2021
TF-342,La Guancha,611,ANTES DE LA GUANCHA,0.0,,,4299,116,2021
TF-342,Icod,613,LA MANCHA A LA GUANCHA,0.0,,,1873,36,2021
TF-344,La Guancha,615,CASA FORESTAL- GUANCHA,0.0,,,261,7,2021
TF-351,San José,617,SAN JUAN DE LA RAMBLA,0.0,,,2382,64,2021
TF-351,La Guancha,621,SAN JOSE,0.0,,,867,23,2021
TF-353,La Guancha de Abajo,623,EL CONVENTO,0.0,,,1738,47,2021
TF-366,El Amparo,629,EL AMPARO,0.0,,,4864,100,2021
TF-366,La Vega,631,AMPARO LOS BARROS,0.0,,,3328,68,2021
TF-373,Acceso a el Amparo,633,DE TF-82 A LA VEGA,0.0,,,358,7,2021
TF-373,San José de los Llanos,635,LA VEGA,0.0,,,2323,48,2021
TF-373,Puerto de Erjos,641,ERJOS-SAN JOSE DE LOS LLANOS,0.0,,,3400,156,2021
TF-375,Arguayo,643,DEL ANILLO I. A L MANCHAS,0.0,,,939,39,2021
TF-375,Chio,645,CHIO CAMPO FUTBOL,0.0,,,1182,36,2021
TF-38,Chio,277,CHIO-BOCA TAUCE,0.0,,,1486,45,2021
TF-4,Autopista del sur,81,VIA DE PENETRACIÓN,78.22,15349.0,14909.0,30258,2329,2021
TF-414,Playa de San Marcos,647,ICOD-SAN MARCOS,0.0,,,2831,58,2021
TF-42,Icod,135,BUEN PASO,61.27,11242.0,11655.0,22897,755,2021
TF-42,La Centinela,137,ICOD EL EMPALME,0.0,,,20548,380,2021
TF-42,San Marcos,139,CRUCE SAN MARCOS,68.85,6006.0,6540.0,12546,257,2021
TF-42,Garachico,279,TÚNEL GUINCHO,58.56,5839.0,6139.0,11978,117,2021
TF-42,Los Silos,281,GARACHICO-LOS SILOS,0.0,,,8716,179,2021
TF-42,Buenavista,283,LOS SILOS-BUENAVISTA,52.86,4234.0,4216.0,8450,259,2021
TF-421,El Tanque,649,LAS CRUCES,0.0,,,1042,21,2021
TF-421,San Juán del Reparo,653,DE TANQUE BAJO A TF-82,0.0,,,987,45,2021
TF-423,Tierra del Trigo,655,A TIERRA DEL TRIGO,0.0,,,1108,51,2021
TF-436,Acceso a Los Carrizales,657,EL PALMAR,0.0,954.0,852.0,1806,37,2021
TF-436,Masca,663,LAS PORTELAS,0.0,,,462,9,2021
TF-436,Santiago del Teide,665,A SANTIAGO DEL TEIDE,0.0,,,607,28,2021
TF-445,Faro de Teno,669,FARO DE TENO-CARDON,0.0,,,628,13,2021
TF-454,Acceso a Alcalá,671,A LOS GIGANTES,36.43,1268.0,1876.0,3144,173,2021
TF-454,Puerto de Santiago,673,TAMAIMO A CRUC. GIGANTES,0.0,1727.0,1919.0,3646,138,2021
TF-463,TF-1,674,DE GUIA DE ISORA A TF-1,0.0,,,7441,226,2021
TF-463,Playa de San Juán,675,PLAYA SAN JUAN,0.0,,,602,23,2021
TF-465,Acceso Urbanización Lago Abama,677,CHIQUITA INICIO TF-465,0.0,,,783,30,2021
TF-465,Carretera General del Sur,679,C. VERA  ERQUES CON TF-1,0.0,,,2586,78,2021
TF-465,Acceso a Tejina de Guía,681,SUBIDA VERA DE ERQUES,0.0,,,590,18,2021
TF-465,Vera de Erques,683,VERA DE ERQUES,0.0,,,840,25,2021
TF-47,Acceso a Callao Salvaje,285,ARMEÑIME-PEDREGALES,54.42,9629.0,9568.0,19197,729,2021
TF-47,Acceso a Vera de Erques,289,PASADO CALLAO SALVAJE,0.0,2730.0,2272.0,5002,190,2021
TF-47,Playa de San Juán,293,ANTES DE ABAMA,71.3,2460.0,2027.0,4487,255,2021
